Date,Sport,Venue/Event,Status,Winner/s,Source_Origin,Method of qualification,No. of teams,Teams,T20I ranking[a]
11 December – 3,Darts,2026 PDC World Darts Championship,International,Luke Littler,Global Calendar,,,,
21 December – 18,Association football,2025 Africa Cup of Nations,Continental,Senegal,Global Calendar,,,,
26 December – 5,Ice hockey,2026 World Junior Ice Hockey Championships,International,Sweden,Global Calendar,,,,
2,Ice Hockey,2026 NHL Winter Classic,Domestic,New York Rangers,Global Calendar,,,,
2–11,Tennis,2026 United Cup,International,Poland,Global Calendar,,,,
3–17,Rally raid,2026 Dakar Rally (WRRC #1),International,Bikes: Luciano BenavidesCars: Nasser Al-AttiyahChallenger: Pau NavarroSSV: Brock HegerTrucks: Vaidotas ŽalaClassics: Karolis RaisysMission 1000: Jordi Juvanteny,Global Calendar,,,,
6–11,Lacrosse,2026 Asia-Pacific Men's Lacrosse Championship,Continental,Australia,Global Calendar,,,,
6–24,Association football,2026 AFC U-23 Asian Cup,Continental,Japan,Global Calendar,,,,
8–11,Field hockey,2026 Men's EuroHockey Indoor Championship,Continental,Austria,Global Calendar,,,,
9–11,Bobsleigh and skeleton,IBSF European Championships 2026,Continental,Germany,Global Calendar,,,,
9–11,Speed skating,2026 European Speed Skating Championships,Continental,Poland,Global Calendar,,,,
9–25,Bowls,2026 World Indoor Bowls Championship,International,Open: Robert PaxtonWomen: Katherine Rednall,Global Calendar,,,,
10,Athletics,2026 World Athletics Cross Country Championships,International,Men: Jacob KiplimoWomen: Agnes Ngetich,Global Calendar,,,,
10,Formula racing,2026 Mexico City ePrix (FE #2),International,Nick Cassidy ( Citroën Racing),Global Calendar,,,,
10,Wrestling,RAF 05: Covington vs. Rockhold,International,Colby Covington,Global Calendar,,,,
10–18,Ice hockey,2026 IIHF U18 Women's World Championship,International,United States,Global Calendar,,,,
10–25,Water polo,2026 Men's European Water Polo Championship,Continental,Serbia,Global Calendar,,,,
11–18,Snooker,2026 Masters (Triple Crown #2),International,Kyren Wilson,Global Calendar,,,,
12–16,Handball,2026 South and Central American Women's Junior Handball Championship,Continental,Brazil,Global Calendar,,,,
12–18,Bandy,2026 Bandy World Championship  2026 Women's Bandy World Championship,International,Men: SwedenWomen: Sweden,Global Calendar,,,,
13–18,Figure skating,2026 European Figure Skating Championships,Continental,Georgia,Global Calendar,,,,
13–25,Futsal,2026 SAFF Women's Futsal Championship,Regional,Bangladesh,Global Calendar,,,,
14–26,Futsal,2026 SAFF Futsal Championship,Regional,Maldives,Global Calendar,,,,
15–18,Field hockey,2026 Women's EuroHockey Indoor Championship,Continental,Germany,Global Calendar,,,,
15–29,Handball,2026 Asian Men's Handball Championship,Continental,,Global Calendar,,,,
15–1 February,Handball,// 2026 European Men's Handball Championship,Continental,,Global Calendar,,,,
15–6 February,Cricket,/ 2026 Under-19 Men's Cricket World Cup,International,,Global Calendar,,,,
16–18,Short-track speed skating,2026 European Short Track Speed Skating Championships,Continental,Netherlands,Global Calendar,,,,
17–24,Luge,2026 FIL European Luge Championships,Continental,Germany,Global Calendar,,,,
17–24 May,Association football,//// 2026 OFC Professional League,Continental,,Global Calendar,,,,
18–1 February,Tennis,2026 Australian Open,International,,Global Calendar,,,,
19,American football,2026 College Football Playoff National Championship,Domestic,Indiana Hoosiers,Global Calendar,,,,
19–24,Handball,2026 South and Central American Men's Handball Championship,Continental,Argentina,Global Calendar,,,,
21–25,Biathlon,2026 IBU Junior Open European Championships,Continental,Czech Republic,Global Calendar,,,,
21–25,Figure skating,2026 Four Continents Figure Skating Championships,International,Japan,Global Calendar,,,,
21–31,Handball,2026 African Men's Handball Championship,Continental,,Global Calendar,,,,
21–7 February,Futsal,// UEFA Futsal Euro 2026,Continental,,Global Calendar,,,,
22–25,Rallying,2026 Monte Carlo Rally (WRC #1),International,WRC: Oliver Solberg & Elliott Edmondson ( Toyota Gazoo Racing WRT)WRC-2: Léo Rossel & Guillaume Mercoiret ( 2C Junior Team)WRC-3: Eric Royère & Alexis Grenier),Global Calendar,,,,
22–25,Ski flying,FIS Ski Flying World Championships 2026,International,Domen Prevc,Global Calendar,,,,
24,Mixed martial arts,UFC 324: Gaethje vs. Pimblett,International,Justin Gaethje,Global Calendar,,,,
26–5 February,Water polo,2026 Women's European Water Polo Championship,Continental,,Global Calendar,,,,
27–7 February,Futsal,2026 AFC Futsal Asian Cup,Continental,,Global Calendar,,,,
29–1 February,Darts,2026 PDC World Masters,International,,Global Calendar,,,,
29–1 February,Short-track speed skating,2026 World Junior Short Track Speed Skating Championships,International,,Global Calendar,,,,
30–1 February,Cyclo-cross,2026 UCI Cyclo-cross World Championships,International,,Global Calendar,,,,
31,Formula racing,2026 Miami ePrix (FE #3),International,,Global Calendar,,,,
,,,,,T20 World Cup,Hosts,2,India,1.0
,,,,,T20 World Cup,Hosts,2,Sri Lanka,8.0
,,,,,T20 World Cup,"2024 Men's T20 World Cup (Top teams from the previous tournament, excluding hosts.)",6 (7),Afghanistan,10.0
,,,,,T20 World Cup,"2024 Men's T20 World Cup (Top teams from the previous tournament, excluding hosts.)",6 (7),Australia,2.0
,,,,,T20 World Cup,"2024 Men's T20 World Cup (Top teams from the previous tournament, excluding hosts.)",6 (7),Bangladesh[b],9.0
,,,,,T20 World Cup,"2024 Men's T20 World Cup (Top teams from the previous tournament, excluding hosts.)",6 (7),England,3.0
,,,,,T20 World Cup,"2024 Men's T20 World Cup (Top teams from the previous tournament, excluding hosts.)",6 (7),South Africa,5.0
,,,,,T20 World Cup,"2024 Men's T20 World Cup (Top teams from the previous tournament, excluding hosts.)",6 (7),United States,18.0
,,,,,T20 World Cup,"2024 Men's T20 World Cup (Top teams from the previous tournament, excluding hosts.)",6 (7),West Indies,6.0
,,,,,T20 World Cup,ICC Men's T20I Team Rankings,4 (3),Ireland,11.0
,,,,,T20 World Cup,ICC Men's T20I Team Rankings,4 (3),New Zealand,4.0
,,,,,T20 World Cup,ICC Men's T20I Team Rankings,4 (3),Pakistan,7.0
,,,,,T20 World Cup,ICC Men's T20I Team Rankings,4 (3),Scotland[b],14.0
,,,,,T20 World Cup,Americas Qualifier,1,Canada,19.0
,,,,,T20 World Cup,Europe Qualifier,2,Italy,28.0
,,,,,T20 World Cup,Europe Qualifier,2,Netherlands,13.0
,,,,,T20 World Cup,Africa Qualifier,2,Namibia,15.0
,,,,,T20 World Cup,Africa Qualifier,2,Zimbabwe,12.0
,,,,,T20 World Cup,Asia–EAP Qualifier,3,Nepal,17.0
,,,,,T20 World Cup,Asia–EAP Qualifier,3,Oman,20.0
,,,,,T20 World Cup,Asia–EAP Qualifier,3,United Arab Emirates,16.0
,,,,,T20 World Cup,Total,20,,
